STORAGE OF RESERVOIRS											
										5/16/25	
				INFLOW		 STORAGE				Maximum	
			Capacity			Today		Last year		Storage	
Reservoir				Last	Total						
				24 hours	since	MCM	%	MCM	%	2024	
			MCM	MCM	1/10/2024					MCM	Date
SOUTHERN CONVEYOR											
Kouris			115.000	0.008	5.636	21.306	18.5	43.346	37.7	48.004	21/2
Kalavasos			17.100	0.000	1.319	4.284	25.1	5.026	29.4	5.184	22/3
Lefkara			13.850	0.000	0.222	2.717	19.6	8.649	62.4	8.730	20/3
Dipotamos			15.500	0.000	0.546	5.915	38.2	5.847	37.7	6.794	23/2
Germasoyeia			13.500	0.000	2.580	3.125	23.1	6.290	46.6	6.856	19/2
Arminou			4.300	0.002	2.833	2.731	63.5	2.062	48.0	3.520	19/1
Polemidia			3.400	0.000	0.876	1.243	36.6	1.287	37.9	1.403	28/3
Achna			6.800	0.000	0.000	0.787	11.6	3.164	46.5	3.831	22/3
TOTAL			189.450	0.010	14.012	42.108	22.2	75.671	39.9	82.507	26/2
PAFOS											
Asprokremmos			52.375	0.000	1.224	11.859	22.6	26.707	51.0	29.838	20/2
Kannaviou			17.168	0.001	0.910	4.099	23.9	8.978	52.3	9.647	22/2
Mavrokolympos			2.180	0.000	0.199	0.000	0.0	1.056	48.4	1.223	26/2
TOTAL			71.723	0.001	2.333	15.958	22.2	36.741	51.2	40.660	21/2
CHRYSOCHOU											
Evretou			24.000	0.000	1.026	5.542	23.1	12.198	50.8	13.162	8/3
Argaka			0.990	0.000	0.263	0.357	36.1	0.179	18.1	0.303	28/3
Pomos			0.860	0.000	0.239	0.352	40.9	0.657	76.4	0.729	28/3
Agia Marina			0.298	0.000	0.130	0.166	55.7	0.235	78.9	0.218	2/4
TOTAL			26.148	0.000	1.658	6.417	24.5	13.269	50.7	14.385	8/3
NICOSIA											
Vyzakia			1.690	0.000	0.002	0.042	2.5	0.543	32.1	0.707	9/2
Xyliatos			1.430	0.000	0.157	0.294	20.6	0.811	56.7	0.900	29/3
Kalopanagiotis			0.363	0.000	0.294	0.277	76.3	0.328	90.4	0.363	1/1-19/4
TOTAL			3.483	0.000	0.453	0.613	17.6	1.682	48.3	1.952	4/3
											
GRAND TOTAL			290.804	0.011	18.456	65.096	22.4	127.363	43.8	139.342	26/2
Water transferred from Arminou to Kouris dam since  1/10/2024 -								0.290	 MCM		
											
											
 INFLOW FOR THE LAST TEN YEARS ( MCM )											
	14/15	15/16	16/17	17/18	18/19	19/20	20/21	21/22	22/23	23/24	24/25
October	0.32	1.02	0.247	0.142	0.858	2.430	0.165	0.084	3.946	0.583	0.000
November	0.92	0.61	0.657	0.614	0.757	1.545	0.942	0.397	2.976	1.581	3.084
December	2.14	1.25	7.424	0.881	16.665	30.495	3.107	11.923	2.922	2.340	5.710
January	38.35	3.69	21.083	20.661	118.110	47.740	12.540	74.614	8.268	7.300	4.062
February	44.52	2.82	4.181	9.528	53.909	15.916	8.016	33.963	12.603	6.676	2.451
March	17.67	6.13	8.891	5.944	32.283	15.670	6.022	19.801	9.517	2.920	1.465
April	8.23	1.31	4.398	2.176	25.326	11.062	4.156	8.139	4.741	1.801	1.096
May	3.14	0.96	1.780	2.802	8.869	7.317	0.899	3.440	2.728	0.910	0.588
June	0.98	0.11	0.228	2.022	6.199	2.747	0.192	1.264	0.891	0.297	0.000
July	0.09	0.00	0.000	0.050	1.524	0.866	0.024	0.093	0.000	0.098	0.000
Aug-Sep.	0.01	0.01	0.000	0.077	0.542	0.161	0.035	0.035	0.186	0.208	0.000
TOTAL	116.35	17.907	48.889	44.897	265.042	135.949	36.098	153.753	48.778	24.714	18.456
RECHARGE/OTHER											
Tamassos			2.800	0.000	0.194	0.964	34.4	1.605	57.3	1.645	29/3
Klirou-Malounta			2.000	0.000	0.283	1.439	72.0	1.526	76.3	2.000	16/2-8/3
Solea			4.454	0.000	0.610	2.806	63.0	3.632	81.5	3.944	14/3
WEB PAGE WDD- www.moa.gov.cy/wdd											
