STORAGE OF RESERVOIRS											
										5/23/25	
				INFLOW		 STORAGE				Maximum	
			Capacity			Today		Last year		Storage	
Reservoir				Last	Total						
				24 hours	since	MCM	%	MCM	%	2024	
			MCM	MCM	1/10/2024					MCM	Date
SOUTHERN CONVEYOR											
Kouris			115.000	0.003	5.668	21.013	18.3	42.769	37.2	48.004	21/2
Kalavasos			17.100	0.000	1.319	4.187	24.5	4.972	29.1	5.184	22/3
Lefkara			13.850	0.000	0.222	2.547	18.4	8.619	62.2	8.730	20/3
Dipotamos			15.500	0.000	0.546	5.951	38.4	5.700	36.8	6.794	23/2
Germasoyeia			13.500	0.000	2.580	3.035	22.5	6.113	45.3	6.856	19/2
Arminou			4.300	0.000	2.844	2.714	63.1	2.007	46.7	3.520	19/1
Polemidia			3.400	0.000	0.876	1.222	35.9	1.263	37.1	1.403	28/3
Achna			6.800	0.000	0.000	0.633	9.3	3.051	44.9	3.831	22/3
TOTAL			189.450	0.003	14.055	41.302	21.8	74.494	39.3	82.507	26/2
PAFOS											
Asprokremmos			52.375	0.000	1.224	11.574	22.1	26.396	50.4	29.838	20/2
Kannaviou			17.168	0.001	0.916	4.021	23.4	8.875	51.7	9.647	22/2
Mavrokolympos			2.180	0.000	0.199	0.000	0.0	1.023	46.9	1.223	26/2
TOTAL			71.723	0.001	2.339	15.595	21.7	36.294	50.6	40.660	21/2
CHRYSOCHOU											
Evretou			24.000	0.000	1.026	5.453	22.7	11.997	50.0	13.162	8/3
Argaka			0.990	0.000	0.263	0.342	34.5	0.172	17.4	0.303	28/3
Pomos			0.860	0.000	0.239	0.337	39.2	0.640	74.4	0.729	28/3
Agia Marina			0.298	0.000	0.130	0.154	51.7	0.235	78.9	0.218	2/4
TOTAL			26.148	0.000	1.658	6.286	24.0	13.044	49.9	14.385	8/3
NICOSIA											
Vyzakia			1.690	0.000	0.002	0.041	2.4	0.523	30.9	0.707	9/2
Xyliatos			1.430	0.000	0.157	0.281	19.7	0.790	55.2	0.900	29/3
Kalopanagiotis			0.363	0.000	0.294	0.265	73.0	0.317	87.3	0.363	1/1-19/4
TOTAL			3.483	0.000	0.453	0.587	16.9	1.630	46.8	1.952	4/3
											
GRAND TOTAL			290.804	0.004	18.505	63.770	21.9	125.462	43.1	139.342	26/2
Water transferred from Arminou to Kouris dam since  1/10/2024 -								0.290	 MCM		
											
											
 INFLOW FOR THE LAST TEN YEARS ( MCM )											
	14/15	15/16	16/17	17/18	18/19	19/20	20/21	21/22	22/23	23/24	24/25
October	0.32	1.02	0.247	0.142	0.858	2.430	0.165	0.084	3.946	0.583	0.000
November	0.92	0.61	0.657	0.614	0.757	1.545	0.942	0.397	2.976	1.581	3.084
December	2.14	1.25	7.424	0.881	16.665	30.495	3.107	11.923	2.922	2.340	5.710
January	38.35	3.69	21.083	20.661	118.110	47.740	12.540	74.614	8.268	7.300	4.062
February	44.52	2.82	4.181	9.528	53.909	15.916	8.016	33.963	12.603	6.676	2.451
March	17.67	6.13	8.891	5.944	32.283	15.670	6.022	19.801	9.517	2.920	1.465
April	8.23	1.31	4.398	2.176	25.326	11.062	4.156	8.139	4.741	1.801	1.096
May	3.14	0.96	1.780	2.802	8.869	7.317	0.899	3.440	2.728	0.910	0.637
June	0.98	0.11	0.228	2.022	6.199	2.747	0.192	1.264	0.891	0.297	0.000
July	0.09	0.00	0.000	0.050	1.524	0.866	0.024	0.093	0.000	0.098	0.000
Aug-Sep.	0.01	0.01	0.000	0.077	0.542	0.161	0.035	0.035	0.186	0.208	0.000
TOTAL	116.35	17.907	48.889	44.897	265.042	135.949	36.098	153.753	48.778	24.714	18.505
RECHARGE/OTHER											
Tamassos			2.800	0.000	0.194	0.936	33.4	1.583	56.5	1.645	29/3
Klirou-Malounta			2.000	0.000	0.283	1.429	71.5	1.513	75.7	2.000	16/2-8/3
Solea			4.454	0.000	0.610	2.766	62.1	3.601	80.8	3.944	14/3
